Datetime,Hashrate
2025-06-04 14,14.609
2025-06-04 15,14.061
2025-06-04 16,13.692
2025-06-04 17,13.415
2025-06-04 18,13.288
2025-06-04 19,13.394
2025-06-04 20,13.711
2025-06-04 21,13.790
2025-06-04 22,13.408
2025-06-04 23,13.175
2025-06-05 00,13.223
2025-06-05 01,12.943
2025-06-05 02,13.148
2025-06-05 03,13.580
2025-06-05 04,13.629
2025-06-05 05,13.562
2025-06-05 06,13.320
2025-06-05 07,13.368
2025-06-05 08,13.679
2025-06-05 09,13.836
2025-06-05 10,14.168
2025-06-05 11,14.390
2025-06-05 12,14.129
2025-06-05 13,14.255
2025-06-05 14,14.071
2025-06-05 15,13.783
2025-06-05 16,13.915
2025-06-05 17,13.630
2025-06-05 18,13.637
2025-06-05 19,13.626
2025-06-05 20,13.833
2025-06-05 21,13.831
2025-06-05 22,14.170
2025-06-05 23,14.070
2025-06-06 00,10.000
2025-06-06 09,13.155
2025-06-06 10,13.549
2025-06-06 11,13.794
2025-06-06 12,13.928
2025-06-06 13,14.161
2025-06-06 14,14.240
2025-06-06 15,13.909
2025-06-06 16,13.982
2025-06-06 19,13.411
2025-06-06 20,13.391
2025-06-06 21,13.545
2025-06-06 22,13.822
2025-06-06 23,13.870
2025-06-07 00,13.758
2025-06-07 01,13.732
2025-06-07 02,13.754
2025-06-07 03,13.662
2025-06-07 04,13.702
2025-06-07 05,13.574
2025-06-07 06,13.817
2025-06-07 07,13.673
2025-06-07 08,13.627
2025-06-07 09,13.450
2025-06-07 10,13.905
2025-06-07 11,13.545
2025-06-07 12,13.526
2025-06-07 13,13.863
2025-06-07 14,13.812
2025-06-07 15,13.971
2025-06-08 12,14.498
2025-06-08 13,14.016
2025-06-08 14,14.060
2025-06-08 15,13.788
2025-06-08 16,13.575
2025-06-08 17,13.410
2025-06-08 18,13.536
2025-06-08 19,13.536
2025-06-08 20,13.578
2025-06-08 21,13.689
2025-06-08 22,13.427
2025-06-08 23,13.561
2025-06-09 00,13.678
2025-06-09 01,13.845
2025-06-09 02,13.764
2025-06-09 03,14.123
2025-06-09 04,14.007
2025-06-09 05,13.890
2025-06-09 06,13.642
2025-06-09 07,13.551
2025-06-09 08,13.533
2025-06-09 09,13.351
2025-06-09 10,13.622
2025-06-09 11,13.319
2025-06-09 12,13.484
2025-06-09 13,13.412
2025-06-09 14,13.753
2025-06-09 15,13.783
2025-06-09 16,13.901
2025-06-09 17,13.622
2025-06-09 18,13.594
2025-06-09 19,13.453
2025-06-09 20,13.331
2025-06-09 21,13.623
