Datetime,Hashrate
2025-06-13 11:00:00,4.896
2025-06-13 12:00:00,4.879
2025-06-13 13:00:00,4.891
2025-06-13 14:00:00,4.842
2025-06-13 15:00:00,4.768
2025-06-13 16:00:00,4.797
2025-06-13 17:00:00,4.825
2025-06-13 18:00:00,4.872
2025-06-13 19:00:00,4.934
2025-06-13 20:00:00,4.821
2025-06-13 21:00:00,4.876
2025-06-13 22:00:00,4.878
2025-06-13 23:00:00,4.951
2025-06-14 00:00:00,4.937
2025-06-14 01:00:00,4.959
2025-06-14 02:00:00,5.011
2025-06-14 03:00:00,5.105
2025-06-14 04:00:00,5.045
2025-06-14 05:00:00,4.958
2025-06-14 06:00:00,4.863
2025-06-14 07:00:00,4.934
2025-06-14 08:00:00,4.905
2025-06-14 09:00:00,4.879
2025-06-14 10:00:00,4.867
2025-06-14 11:00:00,4.906
2025-06-14 12:00:00,4.976
2025-06-14 13:00:00,4.890
2025-06-14 14:00:00,4.859
2025-06-14 15:00:00,4.868
2025-06-14 16:00:00,4.926
2025-06-14 17:00:00,4.964
2025-06-14 18:00:00,4.944
2025-06-14 19:00:00,4.961
2025-06-14 20:00:00,4.886
2025-06-14 21:00:00,4.844
2025-06-14 22:00:00,4.717
2025-06-14 23:00:00,4.740
2025-06-15 00:00:00,4.797
2025-06-15 01:00:00,4.796
2025-06-15 02:00:00,4.825
2025-06-15 03:00:00,4.876
2025-06-15 04:00:00,4.808
2025-06-15 05:00:00,4.783
2025-06-15 06:00:00,4.781
2025-06-15 07:00:00,4.804
2025-06-15 08:00:00,4.708
2025-06-15 09:00:00,4.791
2025-06-15 10:00:00,4.838
2025-06-15 11:00:00,4.847
2025-06-15 12:00:00,4.956
2025-06-15 13:00:00,4.994
2025-06-15 14:00:00,5.077
2025-06-15 15:00:00,5.192
2025-06-15 16:00:00,5.216
2025-06-15 17:00:00,5.230
2025-06-15 18:00:00,5.223
2025-06-15 19:00:00,5.287
2025-06-15 20:00:00,5.373
2025-06-15 21:00:00,5.353
2025-06-15 22:00:00,5.481
2025-06-15 23:00:00,5.479
2025-06-16 00:00:00,5.485
2025-06-16 01:00:00,5.478
2025-06-16 02:00:00,5.620
2025-06-16 03:00:00,5.521
2025-06-16 04:00:00,5.499
2025-06-16 05:00:00,5.413
2025-06-16 06:00:00,5.547
2025-06-16 07:00:00,5.522
2025-06-16 08:00:00,5.375
2025-06-16 09:00:00,5.413
2025-06-16 10:00:00,5.394
2025-06-16 11:00:00,5.363
2025-06-16 12:00:00,5.369
2025-06-16 13:00:00,5.377
2025-06-16 14:00:00,5.465
2025-06-16 15:00:00,5.459
2025-06-16 16:00:00,5.476
2025-06-16 17:00:00,5.456
2025-06-16 18:00:00,5.390
2025-06-16 19:00:00,5.339
2025-06-16 20:00:00,5.458
2025-06-16 21:00:00,5.422
2025-06-16 22:00:00,5.428
2025-06-16 23:00:00,5.484
2025-06-17 00:00:00,5.506
2025-06-17 01:00:00,5.486
2025-06-17 02:00:00,5.384
2025-06-17 03:00:00,5.389
2025-06-17 04:00:00,5.338
2025-06-17 05:00:00,5.315
2025-06-17 06:00:00,5.254
2025-06-17 07:00:00,5.174
2025-06-17 08:00:00,5.106
2025-06-17 09:00:00,5.184
2025-06-17 10:00:00,5.188
2025-06-17 11:00:00,5.158
2025-06-17 12:00:00,5.160
2025-06-17 13:00:00,5.102
2025-06-17 14:00:00,5.058
2025-06-17 15:00:00,5.185
2025-06-17 16:00:00,5.199
2025-06-17 17:00:00,5.175
2025-06-17 18:00:00,5.186
2025-06-17 19:00:00,5.102
2025-06-17 20:00:00,5.062
2025-06-17 21:00:00,5.041
2025-06-17 22:00:00,5.040
2025-06-17 23:00:00,4.963
2025-06-18 00:00:00,4.892
2025-06-18 01:00:00,4.965
2025-06-18 02:00:00,5.029
2025-06-18 03:00:00,5.040
2025-06-18 04:00:00,5.001
2025-06-18 05:00:00,4.986
2025-06-18 06:00:00,4.910
2025-06-18 07:00:00,4.884
2025-06-18 08:00:00,4.831
2025-06-18 09:00:00,4.725
2025-06-18 10:00:00,4.741
2025-06-18 11:00:00,4.699
2025-06-18 12:00:00,4.638
2025-06-18 13:00:00,4.571
2025-06-18 14:00:00,4.566
2025-06-18 15:00:00,4.508
2025-06-18 16:00:00,4.593
2025-06-18 17:00:00,4.601
2025-06-18 18:00:00,4.704
2025-06-18 19:00:00,4.753
2025-06-18 20:00:00,4.770
2025-06-18 21:00:00,4.721
2025-06-18 22:00:00,4.746
2025-06-18 23:00:00,4.827
2025-06-19 00:00:00,4.928
2025-06-19 01:00:00,4.914
2025-06-19 02:00:00,4.892
2025-06-19 03:00:00,4.949
2025-06-19 04:00:00,5.027
2025-06-19 05:00:00,5.082
2025-06-19 06:00:00,5.017
2025-06-19 07:00:00,5.160
2025-06-19 08:00:00,5.108
2025-06-19 09:00:00,5.094
2025-06-19 10:00:00,5.144
2025-06-19 11:00:00,5.135
2025-06-19 12:00:00,5.191
2025-06-19 13:00:00,5.260
2025-06-19 14:00:00,5.025
2025-06-19 15:00:00,4.928
2025-06-19 16:00:00,4.970
2025-06-19 17:00:00,5.006
2025-06-19 18:00:00,5.006
2025-06-19 19:00:00,4.898
2025-06-19 20:00:00,4.853
2025-06-19 21:00:00,4.919
2025-06-19 22:00:00,4.951
2025-06-19 23:00:00,5.011
2025-06-20 00:00:00,5.081
2025-06-20 01:00:00,5.097
2025-06-20 02:00:00,5.089
2025-06-20 03:00:00,5.078
2025-06-20 04:00:00,5.090
2025-06-20 05:00:00,5.156
2025-06-20 06:00:00,5.120
2025-06-20 07:00:00,5.107
2025-06-20 08:00:00,5.183
2025-06-20 09:00:00,5.462
2025-06-20 10:00:00,5.395
2025-06-20 11:00:00,5.446
2025-06-20 12:00:00,5.499
2025-06-20 13:00:00,5.457
2025-06-20 14:00:00,5.579
2025-06-20 15:00:00,5.506
2025-06-20 16:00:00,5.409
2025-06-20 17:00:00,5.402
2025-06-20 18:00:00,5.391
2025-06-20 19:00:00,5.426
2025-06-20 20:00:00,5.434
2025-06-20 21:00:00,5.364
2025-06-20 22:00:00,5.382
2025-06-20 23:00:00,5.444
2025-06-21 00:00:00,0
2025-06-21 01:00:00,5.401
2025-06-21 02:00:00,5.411
2025-06-21 03:00:00,5.438
2025-06-21 04:00:00,5.258
2025-06-21 05:00:00,5.217
2025-06-21 06:00:00,5.199
2025-06-21 07:00:00,5.208
2025-06-21 08:00:00,5.138
2025-06-21 09:00:00,5.160
2025-06-21 10:00:00,5.204
2025-06-21 11:00:00,5.289
2025-06-21 12:00:00,5.345
2025-06-21 13:00:00,5.276
2025-06-21 14:00:00,5.339
2025-06-21 15:00:00,5.255
2025-06-21 16:00:00,5.150
2025-06-21 17:00:00,5.189
2025-06-21 18:00:00,5.186
2025-06-21 19:00:00,5.191
2025-06-21 20:00:00,5.178
2025-06-21 21:00:00,5.192
2025-06-21 22:00:00,5.203
2025-06-21 23:00:00,5.201
2025-06-22 00:00:00,5.319
2025-06-22 01:00:00,5.273
2025-06-22 02:00:00,5.270
2025-06-22 03:00:00,5.275
2025-06-22 04:00:00,5.341
2025-06-22 05:00:00,5.412
2025-06-22 06:00:00,5.308
2025-06-22 07:00:00,5.264
2025-06-22 08:00:00,5.185
2025-06-22 09:00:00,5.217
2025-06-22 10:00:00,5.239
2025-06-22 11:00:00,5.331
2025-06-22 12:00:00,5.272
2025-06-22 13:00:00,5.317
2025-06-22 14:00:00,5.337
2025-06-22 15:00:00,5.304
2025-06-22 16:00:00,5.293
2025-06-22 17:00:00,5.262
2025-06-22 18:00:00,5.220
2025-06-22 19:00:00,5.198
2025-06-22 20:00:00,5.159
2025-06-22 21:00:00,5.203
2025-06-22 22:00:00,5.280
2025-06-22 23:00:00,5.218
2025-06-23 00:00:00,5.222
2025-06-23 01:00:00,5.174
2025-06-23 02:00:00,5.138
2025-06-23 03:00:00,5.155
2025-06-23 04:00:00,5.156
2025-06-23 05:00:00,5.238
2025-06-23 06:00:00,4.996
2025-06-23 07:00:00,4.938
2025-06-23 08:00:00,4.911
2025-06-23 09:00:00,5.044
2025-06-23 10:00:00,5.092
2025-06-23 11:00:00,5.029
2025-06-23 12:00:00,5.068
2025-06-23 13:00:00,5.031
2025-06-23 14:00:00,4.971
2025-06-23 15:00:00,4.945
2025-06-23 16:00:00,4.961
