Date,Total
2024-12-29 00:00:00,0.0513
2024-12-30 00:00:00,0.0519
2024-12-31 00:00:00,0.0549
2025-01-01 00:00:00,0.0557
2025-01-02 00:00:00,0.0573
2025-01-03 00:00:00,0.0587
2025-01-04 00:00:00,0.0600
2025-01-05 00:00:00,0.0613
2025-01-08 00:00:00,0.0619
2025-01-09 00:00:00,0.0622
2025-01-10 00:00:00,0.0624
2025-01-11 00:00:00,0.0633
2025-01-12 00:00:00,0.0649
2025-01-13 00:00:00,0.0654
2025-01-14 00:00:00,0.0662
2025-01-15 00:00:00,0.0687
2025-01-16 00:00:00,0.0695
2025-01-17 00:00:00,0.0704
2025-01-19 00:00:00,0.0716
2025-01-20 00:00:00,0.0730
2025-01-23 00:00:00,0.0740
2025-01-25 00:00:00,0.0743
2025-01-26 00:00:00,0.0746
2025-01-27 00:00:00,0.0757
2025-01-29 00:00:00,0.0779
2025-01-31 00:00:00,0.0791
2025-02-01 00:00:00,0.0801
2025-02-02 00:00:00,0.0816
2025-02-03 00:00:00,0.0819
2025-02-05 00:00:00,0.0822
2025-02-06 00:00:00,0.0825
2025-02-07 00:00:00,0.0831
2025-02-09 00:00:00,0.0839
2025-02-10 00:00:00,0.0844
2025-02-11 00:00:00,0.0850
2025-02-12 00:00:00,0.0853
2025-02-13 00:00:00,0.0858
2025-02-15 00:00:00,0.0861
2025-02-16 00:00:00,0.0864
2025-02-17 00:00:00,0.0872
2025-02-18 00:00:00,0.0883
2025-02-19 00:00:00,0.0886
2025-02-20 00:00:00,0.0892
2025-02-21 00:00:00,0.0908
2025-02-22 00:00:00,0.0914
2025-02-23 00:00:00,0.0917
2025-02-24 00:00:00,0.0950
2025-02-25 00:00:00,0.0956
2025-02-27 00:00:00,0.0962
2025-02-28 00:00:00,0.0979
2025-03-01 00:00:00,0.0981
2025-03-02 00:00:00,0.0990
2025-03-03 00:00:00,0.0993
2025-03-04 00:00:00,0.1006
2025-03-05 00:00:00,0.1020
2025-03-06 00:00:00,0.1030
2025-03-07 00:00:00,0.1036
2025-03-08 00:00:00,0.1041
2025-03-09 00:00:00,0.1047
2025-03-10 00:00:00,0.1050
2025-03-12 00:00:00,0.1062
2025-03-13 00:00:00,0.1066
2025-03-15 00:00:00,0.1071
2025-03-16 00:00:00,0.1088
2025-03-19 00:00:00,0.1094
2025-03-20 00:00:00,0.1102
2025-03-21 00:00:00,0.1107
2025-03-22 00:00:00,0.1110
2025-03-24 00:00:00,0.1116
2025-03-25 00:00:00,0.1119
2025-03-27 00:00:00,0.1121
2025-03-31 00:00:00,0.1124
2025-04-01 00:00:00,0.1130
2025-04-02 00:00:00,0.1138
2025-04-03 00:00:00,0.1146
2025-04-04 00:00:00,0.1155
2025-04-05 00:00:00,0.1166
2025-04-06 00:00:00,0.1179
2025-04-07 00:00:00,0.1191
2025-04-09 00:00:00,0.1208
2025-04-10 00:00:00,0.1216
2025-04-11 00:00:00,0.1222
2025-04-12 00:00:00,0.1233
2025-04-13 00:00:00,0.1236
2025-04-14 00:00:00,0.1244
2025-04-15 00:00:00,0.1250
2025-04-16 00:00:00,0.1252
2025-04-17 00:00:00,0.1266
2025-04-20 00:00:00,0.1282
2025-04-21 00:00:00,0.1290
2025-04-22 00:00:00,0.1293
2025-04-23 00:00:00,0.1296
2025-04-24 00:00:00,0.1326
2025-04-26 00:00:00,0.1331
2025-04-27 00:00:00,0.1334
2025-04-28 00:00:00,0.1342
2025-04-30 00:00:00,0.1361
2025-05-02 00:00:00,0.1364
2025-05-03 00:00:00,0.1369
2025-05-05 00:00:00,0.1375
2025-05-06 00:00:00,0.1386
2025-05-09 00:00:00,0.1408
2025-05-15 00:00:00,0.1416
2025-05-17 00:00:00,0.1418
2025-05-18 00:00:00,0.1424
2025-05-19 00:00:00,0.1432
2025-05-20 00:00:00,0.1435
2025-05-21 00:00:00,0.1443
2025-05-24 00:00:00,0.1460
2025-05-25 00:00:00,0.1465
2025-05-28 00:00:00,0.1468
2025-05-29 00:00:00,0.1484
2025-05-30 00:00:00,0.1490
2025-05-31 00:00:00,0.1498
2025-06-02 00:00:00,0.1507
2025-06-10 00:00:00,0.1516
2025-06-12 00:00:00,0.1519
2025-06-13 00:00:00,0.1525
2025-06-14 00:00:00,0.1530
2025-06-15 00:00:00,0.1538
2025-06-16 00:00:00,0.1544
2025-06-17 00:00:00,0.1549
2025-06-18 00:00:00,0.1552
2025-06-21 00:00:00,0.1555
2025-06-23 00:00:00,0.1566
2025-06-25 00:00:00,0.1571
2025-06-26 00:00:00,0.1577
2025-06-28 00:00:00,0.1585
2025-06-30 00:00:00,0.1588
2025-07-01 00:00:00,0.1591
2025-07-02 00:00:00,0.1599
2025-07-04 00:00:00,0.1605
2025-07-06 00:00:00,0.1608
2025-07-07 00:00:00,0.1613
2025-07-08 00:00:00,0.1646
2025-07-09 00:00:00,0.1649
2025-07-11 00:00:00,0.1664
2025-07-14 00:00:00,0.1672
2025-07-16 00:00:00,0.1674
2025-07-17 00:00:00,0.1680
2025-07-18 00:00:00,0.1688
2025-07-20 00:00:00,0.1696
2025-07-22 00:00:00,0.1702
2025-07-23 00:00:00,0.1710
2025-07-25 00:00:00,0.1715
2025-07-27 00:00:00,0.1732
